date,rada_code,hromada_code
2020-08-16,7422283500,UA74060010000052907
2020-08-16,7422284300,UA74060010000052907
2020-08-16,7422285000,UA74060010000052907
2020-08-16,7422285500,UA74060010000052907
2020-08-16,7422286500,UA74060010000052907
2020-08-16,7422287800,UA74060010000052907
2020-08-16,7422288200,UA74060010000052907
2020-08-16,7422288300,UA74060010000052907
2020-08-16,7422288400,UA74060010000052907
2020-08-16,7422289000,UA74060010000052907
2020-08-16,7422289500,UA74060010000052907
2019-10-13,7423380400,UA74040330000024949
2019-10-13,7423381200,UA74040330000024949
2019-10-13,7423383200,UA74040330000024949
2019-10-13,7423388900,UA74040330000024949
2020-08-16,7423380400,UA74040330000024949
2020-08-16,7423381200,UA74040330000024949
2020-08-16,7423383200,UA74040330000024949
2020-08-16,7423388900,UA74040330000024949
2017-08-20,7420880800,UA74040310000039217
2017-08-20,7420885200,UA74040310000039217
2017-08-20,7420886000,UA74040310000039217
2017-08-20,7420887200,UA74040310000039217
2020-08-16,7420880800,UA74040310000039217
2020-08-16,7420885200,UA74040310000039217
2020-08-16,7420886000,UA74040310000039217
2020-08-16,7420887200,UA74040310000039217
2016-10-09,7423810100,UA74040290000072674
2016-10-09,7423881400,UA74040290000072674
2016-10-09,7423882000,UA74040290000072674
2016-10-09,7423886500,UA74040290000072674
2016-10-09,7423887000,UA74040290000072674
2020-08-16,7423810100,UA74040290000072674
2020-08-16,7423881000,UA74040290000072674
2020-08-16,7423881400,UA74040290000072674
2020-08-16,7423882000,UA74040290000072674
2020-08-16,7423886500,UA74040290000072674
2020-08-16,7423887000,UA74040290000072674
2017-08-20,7420680800,UA74040270000069132
2017-08-20,7420682000,UA74040270000069132
2017-08-20,7420684800,UA74040270000069132
2017-08-20,7420685500,UA74040270000069132
2020-08-16,7420680800,UA74040270000069132
2020-08-16,7420682000,UA74040270000069132
